timestamp,amount,account_age_days,transaction_hour,day_of_week,transactions_last_24h,account_balance_ratio,merchant_risk_score,cross_border,cash_equivalent,transaction_type,customer_segment,sender_location,receiver_location,is_money_laundering,transaction_id,customer_id,merchant_id,running_total,hour_of_day,velocity_1h,velocity_24h
2024-01-07 22:39:09,355.8563163620203,823,22,6,2,0.5770770853274053,0.21864592654557433,1,0,atm_withdrawal,retail,K3C3,K3C4,1,SYN_000490,CUST_00001,MERCH_0015,355.8563163620203,22,355.8563163620203,355.8563163620203
2024-01-18 21:10:26,0.008472193509750807,309,21,3,0,0.217224646584644,0.2476404749286041,0,1,online_transfer,business,K4C3,K4C4,0,SYN_000986,CUST_00001,MERCH_0025,355.8647885555301,21,0.008472193509750807,0.008472193509750807
2024-01-25 10:35:12,1992.430297697488,34,10,3,6,0.23850074717967212,0.7052249245124219,0,0,wire_transfer,retail,K1C5,K1C5,1,SYN_000037,CUST_00001,MERCH_0006,2348.295086253018,10,1992.430297697488,1992.430297697488
2024-01-27 18:36:21,2231.6517192635138,1307,18,5,0,0.09966343237282169,0.08077114004739394,0,0,atm_withdrawal,retail,K1C2,K2C1,0,SYN_000698,CUST_00001,MERCH_0196,4579.946805516532,18,2231.6517192635138,2231.6517192635138
2024-01-06 16:10:45,225.65475483598266,1493,16,5,3,0.33126240845226473,0.4483966391742223,1,0,wire_transfer,premium,K3C4,K4C1,1,SYN_000353,CUST_00002,MERCH_0017,225.65475483598266,16,225.65475483598266,225.65475483598266
2024-01-20 08:03:48,23.146983932509798,288,8,5,2,0.26604011769030717,0.5279131186096092,0,0,card_payment,retail,K2C2,K4C2,1,SYN_000749,CUST_00002,MERCH_0019,248.80173876849244,8,23.146983932509798,23.146983932509798
2024-01-26 14:41:01,641.5713939747719,510,14,4,6,0.2892693513061293,0.11120576214510576,1,0,check_deposit,business,K3C4,K1C3,0,SYN_000013,CUST_00002,MERCH_0134,890.3731327432644,14,641.5713939747719,641.5713939747719
2024-01-29 02:57:23,147.7867940020745,146,2,0,0,0.14782985976395047,0.09551937816330817,1,0,online_transfer,business,K4C3,K1C3,1,SYN_000745,CUST_00002,MERCH_0010,1038.159926745339,2,147.7867940020745,147.7867940020745
2024-01-04 04:26:04,123.60288664349392,62,4,3,3,0.038708245379450064,0.21689100979850695,1,0,online_transfer,retail,K4C1,K1C5,1,SYN_000933,CUST_00003,MERCH_0003,123.60288664349392,4,123.60288664349392,123.60288664349392
2024-01-07 04:59:31,197.21321259930812,869,4,6,4,0.18376479931943987,0.2126546622629409,0,0,wire_transfer,retail,K3C5,K2C2,1,SYN_000042,CUST_00003,MERCH_0014,320.816099242802,4,197.21321259930812,197.21321259930812
2024-01-12 12:35:26,4956.4359515825945,1333,12,4,4,0.7062654642684102,0.6578435032016947,1,0,online_transfer,business,K2C1,K1C1,1,SYN_000452,CUST_00003,MERCH_0015,5277.2520508253965,12,4956.4359515825945,4956.4359515825945
2024-01-24 22:28:53,0.012091576682097052,429,22,2,8,0.3815456561730872,0.10928494578463104,1,0,atm_withdrawal,retail,K1C2,K2C4,0,SYN_000696,CUST_00003,MERCH_0033,5277.2641424020785,22,0.012091576682097052,0.012091576682097052
2024-01-09 19:52:16,9039.737961214072,309,19,1,4,0.11018324251591523,0.3562010189188881,1,0,card_payment,retail,K1C2,K2C5,0,SYN_000178,CUST_00004,MERCH_0150,9039.737961214072,19,9039.737961214072,9039.737961214072
2024-01-15 16:05:28,56.93735868229855,216,16,0,10,0.2767032596926651,0.8222871093835378,1,0,online_transfer,business,K3C5,K4C2,1,SYN_000360,CUST_00004,MERCH_0017,9096.67531989637,16,56.93735868229855,56.93735868229855
2024-01-24 02:35:20,371.19404091768746,526,2,2,0,0.34926786237319346,0.20782341402096394,1,0,online_transfer,business,K3C1,K3C3,1,SYN_000650,CUST_00004,MERCH_0005,9467.869360814058,2,371.19404091768746,371.19404091768746
2024-01-25 02:13:13,9480.89462984329,197,2,3,0,0.4201208988395702,0.08075520391846563,1,0,card_payment,retail,K1C2,K4C2,0,SYN_000033,CUST_00004,MERCH_0122,18948.763990657346,2,9480.89462984329,9852.088670760977
2024-01-27 07:20:15,3077.27156883759,1458,7,5,0,0.4482208872504656,0.25015146881741096,1,0,card_payment,business,K2C1,K2C4,1,SYN_000687,CUST_00004,MERCH_0002,22026.035559494936,7,3077.27156883759,3077.27156883759
2024-01-29 02:22:36,1659.6280402256439,1495,2,0,1,0.49480109149682605,0.11442279862154812,1,0,atm_withdrawal,retail,K4C3,K1C3,0,SYN_000765,CUST_00004,MERCH_0087,23685.66359972058,2,1659.6280402256439,1659.6280402256439
2024-01-01 19:30:26,4588.940754703812,638,19,0,7,0.27756442359038686,0.18199088637149502,1,0,cash_deposit,premium,K4C1,K3C4,1,SYN_000451,CUST_00005,MERCH_0002,4588.940754703812,19,4588.940754703812,4588.940754703812
2024-01-03 03:04:11,0.2935678496772143,1290,3,2,4,0.5101296638863829,0.9062695283666434,1,0,card_payment,retail,K1C3,K3C4,1,SYN_000648,CUST_00005,MERCH_0019,4589.234322553489,3,0.2935678496772143,0.2935678496772143
2024-01-07 00:08:32,445.911025627239,458,0,6,1,0.32752990073974514,1.153705117976488,1,0,cash_deposit,premium,K3C1,K3C2,1,SYN_000405,CUST_00005,MERCH_0016,5035.1453481807275,0,445.911025627239,445.911025627239
2024-01-07 09:33:55,9618.380149599232,286,9,6,1,0.24339316568043726,0.3531398850485043,1,0,card_payment,business,K1C1,K2C3,0,SYN_000421,CUST_00005,MERCH_0142,14653.52549777996,9,9618.380149599232,10064.291175226472
2024-01-09 08:39:56,1176.50720934984,425,8,1,3,0.17299333327723246,0.33460421305444,1,0,wire_transfer,retail,K4C2,K1C4,1,SYN_000423,CUST_00005,MERCH_0008,15830.0327071298,8,1176.50720934984,1176.50720934984
2024-01-09 23:47:38,6225.364537772713,2424,23,1,0,0.31280402826925136,0.3465040813736263,1,0,wire_transfer,retail,K3C1,K4C3,1,SYN_000015,CUST_00005,MERCH_0013,22055.397244902513,23,6225.364537772713,7401.871747122554
2024-01-12 20:48:56,16394.319802496797,323,20,4,1,0.5045328170826685,0.43891754435454317,1,0,online_transfer,retail,K2C4,K1C2,1,SYN_000084,CUST_00005,MERCH_0009,38449.71704739931,20,16394.319802496797,16394.319802496797
2024-01-13 13:28:44,2422.0847510697345,1098,13,5,1,0.10735113035822938,0.3217045080787174,1,0,card_payment,retail,K2C3,K2C5,1,SYN_000965,CUST_00005,MERCH_0005,40871.801798469045,13,2422.0847510697345,18816.404553566532
2024-01-26 07:56:42,1834.536328486575,974,7,4,5,0.5433536738649658,0.06263395702345782,0,0,cash_deposit,retail,K2C1,K4C2,0,SYN_000406,CUST_00005,MERCH_0152,42706.33812695562,7,1834.536328486575,1834.536328486575
2024-01-28 13:20:23,2.081889480424955,896,13,6,1,0.37272305100526415,0.3347445198068475,1,0,card_payment,business,K1C5,K1C4,0,SYN_000476,CUST_00005,MERCH_0087,42708.420016436045,13,2.081889480424955,2.081889480424955
2024-01-29 07:25:27,3365.8159443397385,153,7,0,3,0.5641515898272029,0.554027608950706,1,0,cash_deposit,retail,K2C1,K4C5,1,SYN_000420,CUST_00005,MERCH_0006,46074.23596077578,7,3365.8159443397385,3367.8978338201637
2024-01-03 09:46:24,2714.8792382361007,646,9,2,3,0.5760213379576125,0.33466822572196286,1,0,card_payment,corporate,K3C3,K1C1,0,SYN_000672,CUST_00006,MERCH_0185,2714.8792382361007,9,2714.8792382361007,2714.8792382361007
2024-01-09 22:28:33,5797.111496116483,1007,22,1,1,0.4096327184998626,0.49200278695364213,1,0,card_payment,retail,K3C3,K2C3,1,SYN_000117,CUST_00006,MERCH_0016,8511.990734352585,22,5797.111496116483,5797.111496116483
2024-01-14 00:23:23,913.9978700222554,923,0,6,1,0.10754541131778528,0.6767022324369361,1,0,card_payment,retail,K1C2,K1C1,1,SYN_000647,CUST_00006,MERCH_0015,9425.98860437484,0,913.9978700222554,913.9978700222554
2024-01-16 03:34:17,26005.4644577521,531,3,1,1,0.43479437597896703,0.807101673138988,1,0,card_payment,premium,K2C4,K3C3,1,SYN_000271,CUST_00006,MERCH_0016,35431.45306212694,3,26005.4644577521,26005.4644577521
2024-01-26 21:10:30,719.4335369920198,395,21,4,0,0.23677182257937843,0.5505403144484502,1,0,atm_withdrawal,retail,K1C3,K2C2,1,SYN_000825,CUST_00006,MERCH_0009,36150.88659911896,21,719.4335369920198,719.4335369920198
2024-01-27 09:20:24,7978.663110518986,1315,9,5,0,0.3853670973319522,0.4355607148080686,1,0,cash_deposit,retail,K1C2,K1C5,1,SYN_000519,CUST_00006,MERCH_0006,44129.54970963795,9,7978.663110518986,8698.096647511005
